fipscounty,FIPST,MEMBER,TOTFRL,TotalEnroll,TotalPoor,PercentPoor_NCES,PercentPoor_RJ,diff,StateMerge,county,state,ssacounty,cbsa,cbsaname
01083,01,13246,5761,13246,5761,0.434923751,0.434923751,0,01,LIMESTONE,AL,01410,26620,"Huntsville, AL"
01085,01,1749,1680,1749,1680,0.960548885,0.960548885,0,01,LOWNDES,AL,01420,33860,"Montgomery, AL"
01087,01,2361,2310,2361,2310,0.978398983,0.978398983,0,01,MACON,AL,01430,,
01089,01,51483,20388,51483,20388,0.396014218,0.396014218,0,01,MADISON,AL,01440,26620,"Huntsville, AL"
01091,01,4075,2860,4075,2860,0.701840491,0.701840491,0,01,MARENGO,AL,01450,,
01093,01,4594,2700,4590,2700,0.587723117,0.588235294,-0.051217701,01,MARION,AL,01460,,
01095,01,16854,9858,16854,9858,0.58490566,0.58490566,0,01,MARSHALL,AL,01470,,
01097,01,62649,45030,62014,44529,0.718766461,0.718047538,0.07189231,01,MOBILE,AL,01480,33660,"Mobile, AL"
01099,01,3728,2713,3728,2713,0.727736052,0.727736052,0,01,MONROE,AL,01490,,
01101,63,31359,22599,30956,22382,0.720654358,0.723026231,-0.237187318,01,MONTGOMERY,AL,01500,33860,"Montgomery, AL"
01103,01,19294,10153,19257,10125,0.52622577,0.525782832,0.044293745,01,MORGAN,AL,01510,19460,"Decatur, AL"
01105,01,1739,1589,1739,1589,0.913743531,0.913743531,0,01,PERRY,AL,01520,,
01107,01,2733,2136,2733,2136,0.781558727,0.781558727,0,01,PICKENS,AL,01530,,
01109,01,4410,3093,4410,3093,0.701360544,0.701360544,0,01,PIKE,AL,01540,,
01111,01,3786,2507,3786,2507,0.66217644,0.66217644,0,01,RANDOLPH,AL,01550,,
01113,01,9323,6806,9323,6806,0.730022525,0.730022525,0,01,RUSSELL,AL,01560,17980,"Columbus, GA-AL"
01115,01,12980,6701,12925,6672,0.516255778,0.516208897,0.004688063,01,ST. CLAIR,AL,01570,13820,"Birmingham-Hoover, AL"
01117,01,33155,10552,33089,10535,0.318262705,0.318383753,-0.012104743,01,SHELBY,AL,01580,13820,"Birmingham-Hoover, AL"
01119,01,1879,1820,1879,1820,0.968600319,0.968600319,0,01,SUMTER,AL,01590,,
01121,01,12276,8925,12276,8925,0.727028348,0.727028348,0,01,TALLADEGA,AL,01600,,
01123,01,6153,3644,6153,3644,0.592231432,0.592231432,0,01,TALLAPOOSA,AL,01610,,
01125,01,27905,16154,27786,16091,0.578892672,0.579104585,-0.021191348,01,TUSCALOOSA,AL,01620,46220,"Tuscaloosa, AL"
01127,01,10876,6212,10870,6209,0.57116587,0.571205152,-0.003928199,01,WALKER,AL,01630,13820,"Birmingham-Hoover, AL"
01129,01,3207,1964,3207,1964,0.612410352,0.612410352,0,01,WASHINGTON,AL,01640,,
01131,01,1901,1831,1901,1831,0.963177275,0.963177275,0,01,WILCOX,AL,01650,,
01133,01,4337,2665,4337,2665,0.614480055,0.614480055,0,01,WINSTON,AL,01660,,
01990,,,,,,,,,,STATEWIDE,AL,01999,,
02013,02,257,146,254,146,0.568093385,0.57480315,-0.670976439,02,ALEUTIANS EAST,AK,02013,,
02016,02,549,77,549,77,0.140255009,0.140255009,0,02,ALEUTIANS WEST,AK,02016,,
02020,02,49070,19944,42561,18028,0.40643978,0.423580273,-1.714049311,02,ANCHORAGE,AK,02020,11260,"Anchorage, AK"
02050,02,4963,3872,4889,3814,0.780173282,0.780118634,0.005464862,02,BETHEL,AK,02050,,
02060,02,163,66,151,66,0.404907975,0.437086093,-3.217811726,02,BRISTOL BAY BOROUGH,AK,02060,,
02068,02,859,0,234,0,0,0,0,02,DENALI,AK,02068,,
02070,02,1121,745,1113,745,0.664585192,0.669362084,-0.477689266,02,DILLINGHAM,AK,02070,,
02090,02,19130,5294,13591,5161,0.276738108,0.37973659,-10.29984827,02,FAIRBANKS NORTH STAR,AK,02090,21820,"Fairbanks, AK"
02100,02,273,123,264,123,0.450549451,0.465909091,-1.535964036,02,HAINES,AK,02100,,
02105,02,287,151,285,151,0.526132404,0.529824561,-0.369215722,02,HOONAH-ANGOON CENSUS AREA,AK,02105,,
02110,02,5066,1445,4865,1336,0.285234899,0.274614594,1.062030529,02,JUNEAU,AK,02110,,
02122,02,9014,3155,8032,3087,0.350011094,0.384337649,-3.432655555,02,KENAI PENINSULA,AK,02122,,
02130,02,2247,956,2064,884,0.425456164,0.428294574,-0.283840987,02,KETCHIKAN GATEWAY,AK,02130,,
02150,02,2548,1178,2436,1178,0.462323391,0.483579639,-2.125624786,02,KODIAK ISLAND BOROUGH,AK,02150,,
02164,02,374,280,374,280,0.748663102,0.748663102,0,02,LAKE AND PENINSULA,AK,02164,,
02170,02,17447,5802,14938,5397,0.332550009,0.361293346,-2.874333723,02,MATANUSKA-SUSITNA,AK,02170,11260,"Anchorage, AK"
02180,02,2559,1948,2542,1948,0.761234857,0.766325728,-0.509087041,02,NOME,AK,02180,,
02185,02,1939,601,1903,583,0.309953584,0.306358382,0.359520282,02,NORTH SLOPE BOROUH,AK,02185,,
02188,02,2001,1424,2001,1424,0.711644178,0.711644178,0,02,NORTHWEST ARTIC BOROUGH,AK,02188,,
02195,02,579,314,579,314,0.542314335,0.542314335,0,02,PETERSBURG CENSUS AREA,AK,02195,,
02198,02,1293,727,970,727,0.562258314,0.749484536,-18.72262221,02,PR.OF WALES-HYDER CNS AREA,AK,02198,,
02220,02,1719,755,1648,726,0.439208842,0.440533981,-0.132513823,02,SITKA BOROUGH,AK,02220,,
02230,02,92,3,92,3,0.032608696,0.032608696,0,02,SKAGWAY-YAKUTAT,AK,02230,,
02240,02,1186,534,1034,527,0.450252951,0.50967118,-5.941822879,02,SOUTHEAST FAIRBANKS,AK,02240,,
02261,02,1558,485,1501,485,0.311296534,0.323117921,-1.182138737,02,VALDEZ-CORDOVA,AK,02261,,
02270,02,2486,2096,2486,2096,0.84312148,0.84312148,0,02,WADE HAMPTON,AK,02270,,
02275,02,393,161,393,161,0.409669211,0.409669211,0,02,WRANGELL CITY AND BOROUGH,AK,02275,,
02282,02,93,72,87,72,0.774193548,0.827586207,-5.339265851,02,YAKUTAT BOROUGH,AK,02282,,
02290,02,2217,728,1358,728,0.328371673,0.536082474,-20.77108008,02,YUKON-KOYUKUK,AK,02290,,
02990,,,,,,,,,,STATEWIDE,AK,02999,,
04001,59,11598,8394,11596,8394,0.723745473,0.7238703,-0.012482675,04,APACHE,AZ,03000,,
04003,04,20274,11257,20270,11257,0.555243169,0.555352738,-0.010956945,04,COCHISE,AZ,03010,,
04005,59,18455,8974,18286,8947,0.486263885,0.489281417,-0.301753235,04,COCONINO,AZ,03020,22380,"Flagstaff, AZ"
04007,59,7692,4155,7635,4155,0.540171607,0.544204322,-0.403271534,04,GILA,AZ,03030,,
04009,04,6684,3122,6578,3100,0.467085577,0.471267863,-0.418228507,04,GRAHAM,AZ,03040,,
04011,04,1705,578,1705,578,0.339002933,0.339002933,0,04,GREENLEE,AZ,03050,,
04012,04,2461,1994,2427,1984,0.81023974,0.817470128,-0.723038779,04,LAPAZ,AZ,03055,,
04013,59,701009,315156,691875,311784,0.449574827,0.450636314,-0.106148722,04,MARICOPA,AZ,03060,38060,"Phoenix-Mesa-Glendale, AZ"
04015,04,24903,15168,24901,15168,0.609083243,0.609132163,-0.004892038,04,MOHAVE,AZ,03070,29420,"Lake Havasu City-Kingman, AZ"
04017,59,18887,13533,18706,13460,0.716524594,0.719555223,-0.303062929,04,NAVAJO,AZ,03080,,
04019,59,145937,55914,144295,55171,0.383137929,0.382348661,0.078926865,04,PIMA,AZ,03090,46060,"Tucson, AZ"
04021,59,54275,27368,53857,27132,0.504246891,0.503778525,0.046836622,04,PINAL,AZ,03100,38060,"Phoenix-Mesa-Glendale, AZ"
04023,04,10013,7377,9813,7203,0.736742235,0.734026292,0.271594344,04,SANTA CRUZ,AZ,03110,,
04025,04,25835,11898,25794,11898,0.46053803,0.461270063,-0.0732033,04,YAVAPAI,AZ,03120,39140,"Prescott, AZ"
04027,04,38005,29324,37731,29138,0.771582686,0.772256235,-0.067354844,04,YUMA,AZ,03130,49740,"Yuma, AZ"
04990,,,,,,,,,,STATEWIDE,AZ,03999,,
05001,05,3114,1992,3114,1992,0.639691715,0.639691715,0,05,ARKANSAS,AR,04000,,
05003,05,3959,2762,3959,2762,0.697650922,0.697650922,0,05,ASHLEY,AR,04010,,
05005,05,5142,3014,5142,3014,0.586153248,0.586153248,0,05,BAXTER,AR,04020,,
05007,05,41492,20015,41492,20015,0.482382146,0.482382146,0,05,BENTON,AR,04030,22220,"Fayetteville-Springdale-Rogers, AR-MO"
05009,05,6341,3609,6341,3609,0.56915313,0.56915313,0,05,BOONE,AR,04040,,
05011,05,2053,1554,2053,1554,0.756941062,0.756941062,0,05,BRADLEY,AR,04050,,
05013,05,548,398,548,398,0.726277372,0.726277372,0,05,CALHOUN,AR,04060,,
05015,05,3944,2673,3944,2673,0.677738337,0.677738337,0,05,CARROLL,AR,04070,,
05017,05,1598,1580,1598,1580,0.98873592,0.98873592,0,05,CHICOT,AR,04080,,
05019,05,2990,1845,2990,1845,0.617056856,0.617056856,0,05,CLARK,AR,04090,,
05021,05,2575,1614,2575,1614,0.626796117,0.626796117,0,05,CLAY,AR,04100,,
05023,05,3424,1943,3424,1943,0.567464953,0.567464953,0,05,CLEBURNE,AR,04110,,
05025,05,1384,675,1384,675,0.487716763,0.487716763,0,05,CLEVELAND,AR,04120,38220,"Pine Bluff, AR"
05027,05,3470,2241,3470,2241,0.645821326,0.645821326,0,05,COLUMBIA,AR,04130,,
05029,05,3281,2032,3281,2032,0.619323377,0.619323377,0,05,CONWAY,AR,04140,,
05031,05,17123,9519,17123,9519,0.555918939,0.555918939,0,05,CRAIGHEAD,AR,04150,27860,"Jonesboro, AR"
05033,05,11210,6962,11210,6962,0.621052632,0.621052632,0,05,CRAWFORD,AR,04160,22900,"Fort Smith, AR-OK"
05035,05,10559,7330,10559,7330,0.694194526,0.694194526,0,05,CRITTENDEN,AR,04170,32820,"Memphis, TN-MS-AR"
05037,05,3480,2152,3480,2152,0.618390805,0.618390805,0,05,CROSS,AR,04180,,
05039,05,1102,714,1102,714,0.647912886,0.647912886,0,05,DALLAS,AR,04190,,
05041,05,2749,2188,2749,2188,0.795925791,0.795925791,0,05,DESHA,AR,04200,,
05043,05,3155,1991,3155,1991,0.631061807,0.631061807,0,05,DREW,AR,04210,,
05045,05,18602,8637,18602,8637,0.464304913,0.464304913,0,05,FAULKNER,AR,04220,30780,"Little Rock-N.Little Rock-Conway,AR"
05047,05,2937,1647,2937,1647,0.560776302,0.560776302,0,05,FRANKLIN,AR,04230,22900,"Fort Smith, AR-OK"
05049,05,1657,1066,1657,1066,0.643331322,0.643331322,0,05,FULTON,AR,04240,,
05051,05,14818,9134,14676,9062,0.616412471,0.6174707,-0.105822914,05,GARLAND,AR,04250,26300,"Hot Springs, AR"
05053,05,3807,1960,3807,1960,0.514841082,0.514841082,0,05,GRANT,AR,04260,30780,"Little Rock-N.Little Rock-Conway,AR"
05055,05,7396,4333,7396,4333,0.58585722,0.58585722,0,05,GREENE,AR,04270,,
05057,05,3799,2996,3647,2849,0.788628586,0.781190019,0.743856728,05,HEMPSTEAD,AR,04280,,
05059,05,5474,3323,5474,3323,0.607051516,0.607051516,0,05,HOT SPRING,AR,04290,,
05061,05,3218,2170,3218,2170,0.674331883,0.674331883,0,05,HOWARD,AR,04300,,
05063,05,6268,3626,6268,3626,0.578493937,0.578493937,0,05,INDEPENDENCE,AR,04310,,
05065,05,1813,1157,1813,1157,0.638168781,0.638168781,0,05,IZARD,AR,04320,,
05067,05,2347,1658,2347,1658,0.706433745,0.706433745,0,05,JACKSON,AR,04330,,
05069,05,12362,9031,12362,9031,0.730545219,0.730545219,0,05,JEFFERSON,AR,04340,38220,"Pine Bluff, AR"
05071,05,4608,3401,4608,3401,0.738064236,0.738064236,0,05,JOHNSON,AR,04350,,
05073,05,1105,869,1105,869,0.786425339,0.786425339,0,05,LAFAYETTE,AR,04360,,
05075,05,3285,2216,3285,2216,0.674581431,0.674581431,0,05,LAWRENCE,AR,04370,,
05077,05,1028,1019,1028,1019,0.991245136,0.991245136,0,05,LEE,AR,04380,,
05079,05,1677,1066,1677,1066,0.635658915,0.635658915,0,05,LINCOLN,AR,04390,38220,"Pine Bluff, AR"
05081,05,1993,1240,1993,1240,0.622177622,0.622177622,0,05,LITTLE RIVER,AR,04400,,
05083,05,4012,2696,4012,2696,0.671984048,0.671984048,0,05,LOGAN,AR,04410,,
05085,05,13803,5801,13605,5721,0.420270956,0.420507166,-0.023621089,05,LONOKE,AR,04420,30780,"Little Rock-N.Little Rock-Conway,AR"
05087,05,2578,1589,2578,1589,0.616369279,0.616369279,0,05,MADISON,AR,04430,22220,"Fayetteville-Springdale-Rogers, AR-MO"
05089,05,1886,1358,1886,1358,0.720042418,0.720042418,0,05,MARION,AR,04440,,
05091,05,6694,4114,6694,4114,0.614580221,0.614580221,0,05,MILLER,AR,04450,45500,"Texarkana, TX-Texarkana, AR"
05093,05,8957,7319,8870,7235,0.81712627,0.8156708,0.145546951,05,MISSISSIPPI,AR,04460,,
05095,05,1205,1121,1205,1121,0.930290456,0.930290456,0,05,MONROE,AR,04470,,
05097,05,1361,997,1361,997,0.732549596,0.732549596,0,05,MONTGOMERY,AR,04480,,
05099,05,1462,1111,1462,1111,0.759917921,0.759917921,0,05,NEVADA,AR,04490,,
05101,05,1159,867,1159,867,0.748058671,0.748058671,0,05,NEWTON,AR,04500,,
05103,05,4305,3109,4305,3109,0.722183508,0.722183508,0,05,OUACHITA,AR,04510,,
05105,05,1637,898,1637,898,0.548564447,0.548564447,0,05,PERRY,AR,04520,30780,"Little Rock-N.Little Rock-Conway,AR"
05107,05,3975,3542,3975,3542,0.891069182,0.891069182,0,05,PHILLIPS,AR,04530,,
05109,05,1911,1277,1911,1277,0.668236525,0.668236525,0,05,PIKE,AR,04540,,
05111,05,4339,3472,4339,3472,0.800184374,0.800184374,0,05,POINSETT,AR,04550,27860,"Jonesboro, AR"
05113,05,3379,2568,3379,2568,0.759988162,0.759988162,0,05,POLK,AR,04560,,
05115,05,10017,5738,10017,5738,0.572826195,0.572826195,0,05,POPE,AR,04570,,
05117,05,1282,896,1282,896,0.698907956,0.698907956,0,05,PRAIRIE,AR,04580,,
05119,05,58063,37923,57430,37431,0.653135387,0.651767369,0.136801845,05,PULASKI,AR,04590,30780,"Little Rock-N.Little Rock-Conway,AR"
05121,05,2396,1654,2396,1654,0.690317195,0.690317195,0,05,RANDOLPH,AR,04600,,
05123,05,4281,4251,4281,4251,0.992992292,0.992992292,0,05,ST. FRANCIS,AR,04610,,
05125,05,17237,6962,17237,6962,0.40389859,0.40389859,0,05,SALINE,AR,04620,30780,"Little Rock-N.Little Rock-Conway,AR"
05127,05,2594,1791,2594,1791,0.690439476,0.690439476,0,05,SCOTT,AR,04630,,
05129,05,1121,827,1121,827,0.737734166,0.737734166,0,05,SEARCY,AR,04640,,
05131,05,19968,12747,19910,12695,0.638371394,0.637619287,0.075210744,05,SEBASTIAN,AR,04650,22900,"Fort Smith, AR-OK"
05133,05,3283,2386,3283,2386,0.726774292,0.726774292,0,05,SEVIER,AR,04660,,
05135,05,2952,2082,2952,2082,0.705284553,0.705284553,0,05,SHARP,AR,04670,,
05137,05,1754,1067,1754,1067,0.608323831,0.608323831,0,05,STONE,AR,04680,,
05139,05,7504,4553,7504,4553,0.60674307,0.60674307,0,05,UNION,AR,04690,,
05141,05,2309,1578,2309,1578,0.683412733,0.683412733,0,05,VAN BUREN,AR,04700,,
05143,05,37346,21553,37045,21345,0.577116693,0.576191119,0.092557364,05,WASHINGTON,AR,04710,22220,"Fayetteville-Springdale-Rogers, AR-MO"
05145,05,13027,7329,12998,7313,0.562600752,0.562625019,-0.002426695,05,WHITE,AR,04720,,
05147,05,1180,901,1180,901,0.763559322,0.763559322,0,05,WOODRUFF,AR,04730,,
05149,05,4293,3144,4293,3144,0.732354997,0.732354997,0,05,YELL,AR,04740,,
05990,,,,,,,,,,STATEWIDE,AR,04999,,
06001,63,219568,99436,214209,96030,0.452871092,0.448300492,0.457060075,06,ALAMEDA,CA,05000,36084,"Oakland-Fremont-Hayward, CA"
06003,06,105,18,101,18,0.171428571,0.178217822,-0.678925035,06,ALPINE,CA,05010,,
06005,06,4226,1875,3714,1550,0.443681969,0.417339795,2.63421734,06,AMADOR,CA,05020,,
06007,06,31251,18412,29408,17422,0.589165147,0.59242383,-0.325868353,06,BUTTE,CA,05030,17020,"Chico, CA"
06009,06,5958,2906,5644,2721,0.487747566,0.48210489,0.564267615,06,CALAVERAS,CA,05040,,
06011,06,4711,3285,4547,3205,0.697304182,0.704860347,-0.755616578,06,COLUSA,CA,05050,,
06013,06,170931,68183,165539,65747,0.398891951,0.397169247,0.172270343,06,CONTRA COSTA,CA,05060,36084,"Oakland-Fremont-Hayward, CA"
06015,06,4197,2740,4003,2596,0.652847272,0.648513615,0.433365707,06,DEL NORTE,CA,05070,,
06017,06,28849,8893,27669,8362,0.308260252,0.302215476,0.604477585,06,EL DORADO,CA,05080,40900,"Sacramento--Arden-Arcade--Roseville, CA"
06019,06,195686,145289,189853,140530,0.742459859,0.740204263,0.225559586,06,FRESNO,CA,05090,23420,"Fresno, CA"
06021,06,4766,2999,4453,2788,0.629248846,0.626094768,0.315407842,06,GLENN,CA,05100,,
06023,06,16689,8224,15885,7800,0.492779675,0.491029273,0.175040234,06,HUMBOLDT,CA,05110,,
06025,06,37535,26506,36275,25519,0.706167577,0.70348725,0.268032676,06,IMPERIAL,CA,05120,20940,"El Centro, CA"
06027,06,2835,1427,2718,1374,0.50335097,0.505518764,-0.216779378,06,INYO,CA,05130,,
06029,06,175952,121015,171582,117866,0.687772802,0.686936858,0.083594349,06,KERN,CA,05140,12540,"Bakersfield-Delano, CA"
06031,06,28097,18825,26952,18198,0.670000356,0.675200356,-0.520000028,06,KINGS,CA,05150,25260,"Hanford-Corcoran, CA"
06033,06,9145,6423,8729,6156,0.702351011,0.705235422,-0.288441067,06,LAKE,CA,05160,,
06035,06,4645,2022,4578,1991,0.435306781,0.434906073,0.040070896,06,LASSEN,CA,05170,,
06037,06,1555049,911858,1497251,878536,0.586385381,0.586766013,-0.03806324,06,LOS ANGELES,CA,05210,31084,"Los Angeles-Long Beach-Santa Ana, CA"
06037,06,1555049,911858,1497251,878536,0.586385381,0.586766013,-0.03806324,06,LOS ANGELES,CA,05200,31084,"Los Angeles-Long Beach-Santa Ana, CA"
06039,06,30478,21910,29306,21033,0.718879192,0.717702859,0.117633207,06,MADERA,CA,05300,31460,"Madera-Chowchilla, CA"
06041,06,31693,7899,31006,7613,0.249234847,0.245533123,0.370172419,06,MARIN,CA,05310,41884,"San Francisco-San Mateo-Redwood City,CA"
06043,06,1915,1020,1784,956,0.532637076,0.535874439,-0.323736374,06,MARIPOSA,CA,05320,,
06045,06,13099,8765,12624,8441,0.669135048,0.668647022,0.048802693,06,MENDOCINO,CA,05330,,
06047,06,56330,43629,53905,42001,0.77452512,0.779167053,-0.464193332,06,MERCED,CA,05340,32900,"Merced, CA"
06049,06,969,582,908,536,0.600619195,0.59030837,1.0310825,06,MODOC,CA,05350,,
06051,06,1673,886,1614,873,0.529587567,0.540892193,-1.130462606,06,MONO,CA,05360,,
06053,06,75396,54649,73538,53511,0.724826251,0.727664609,-0.283835804,06,MONTEREY,CA,05370,41500,"Salinas, CA"
06055,06,20705,9385,19819,9043,0.453272156,0.456279328,-0.300717143,06,NAPA,CA,05380,34900,"Napa, CA"
06057,06,13229,4866,12648,4630,0.367828256,0.366065781,0.176247495,06,NEVADA,CA,05390,,
06059,06,503808,242178,489797,234807,0.480695027,0.479396566,0.129846034,06,ORANGE,CA,05400,42044,"Santa Ana-Anaheim-Irvine, CA"
06061,06,63488,17420,62134,16865,0.27438256,0.271429491,0.295306938,06,PLACER,CA,05410,40900,"Sacramento--Arden-Arcade--Roseville, CA"
06063,06,2157,1155,2112,1130,0.535465925,0.535037879,0.042804611,06,PLUMAS,CA,05420,,
06065,59,424886,258158,412463,250526,0.607593566,0.607390239,0.020332763,06,RIVERSIDE,CA,05430,40140,"Riverside-San Bernardino-Ontario, CA"
06067,06,240998,137947,234970,134017,0.572398941,0.570357918,0.204102304,06,SACRAMENTO,CA,05440,40900,"Sacramento--Arden-Arcade--Roseville, CA"
06069,06,10805,5731,10539,5577,0.530402591,0.529177341,0.122525009,06,SAN BENITO,CA,05450,41940,"San Jose-Sunnyvale-Santa Clara, CA"
06071,06,410285,282313,398842,274156,0.688089986,0.687379965,0.071002123,06,SAN BERNARDINO,CA,05460,40140,"Riverside-San Bernardino-Ontario, CA"
06073,06,495858,246787,480605,238287,0.497696921,0.495806327,0.189059385,06,SAN DIEGO,CA,05470,41740,"San Diego-Carlsbad-San Marcos, CA"
06075,06,57086,33040,53939,31311,0.578775882,0.580489071,-0.171318899,06,SAN FRANCISCO,CA,05480,41884,"San Francisco-San Mateo-Redwood City,CA"
06077,06,138132,89461,133110,86016,0.647648626,0.646202389,0.144623695,06,SAN JOAQUIN,CA,05490,44700,"Stockton, CA"
06079,06,34645,15359,33281,14622,0.443325155,0.439349779,0.397537599,06,SAN LUIS OBISPO,CA,05500,42020,"San Luis Obispo-Paso Robles, CA"
06081,06,93411,33969,90801,32815,0.363650962,0.361394698,0.225626358,06,SAN MATEO,CA,05510,41884,"San Francisco-San Mateo-Redwood City,CA"
06083,06,66827,40652,65070,39468,0.608316998,0.606546796,0.177020186,06,SANTA BARBARA,CA,05520,42060,"Santa Barbara-Santa Maria-Goleta, CA"
06085,06,272864,102196,266066,97751,0.374530902,0.367393805,0.71370973,06,SANTA CLARA,CA,05530,41940,"San Jose-Sunnyvale-Santa Clara, CA"
06087,06,38819,20032,37182,19357,0.516035962,0.520601366,-0.456540448,06,SANTA CRUZ,CA,05540,42100,"Santa Cruz-Watsonville, CA"
06089,06,27131,15068,25889,14253,0.555379455,0.550542702,0.48367537,06,SHASTA,CA,05550,39820,"Redding, CA"
06091,06,381,172,373,169,0.45144357,0.45308311,-0.163954037,06,SIERRA,CA,05560,,
06093,06,6369,3708,6140,3629,0.582195007,0.591042345,-0.884733821,06,SISKIYOU,CA,05570,,
06095,06,64981,31279,62844,30202,0.481356089,0.48058685,0.076923873,06,SOLANO,CA,05580,46700,"Vallejo-Fairfield, CA"
06097,06,69421,31681,66995,30644,0.456360467,0.457407269,-0.104680191,06,SONOMA,CA,05590,42220,"Santa Rosa-Petaluma, CA"
06099,06,105328,69370,102322,67120,0.658609297,0.655968413,0.264088323,06,STANISLAUS,CA,05600,33700,"Modesto, CA"
06101,06,20429,12651,19605,12108,0.619266729,0.617597552,0.166917703,06,SUTTER,CA,05610,49700,"Yuba City, CA"
06103,06,11011,6714,10634,6527,0.609753882,0.61378597,-0.403208705,06,TEHAMA,CA,05620,,
06105,06,1622,1004,1578,994,0.618988903,0.62991128,-1.092237751,06,TRINITY,CA,05630,,
06107,06,99957,71983,97054,70051,0.72013966,0.721773446,-0.163378566,06,TULARE,CA,05640,47300,"Visalia-Porterville, CA"
