county,state,ssacounty,fipscounty,cbsa,cbsaname,CONUM,FrlBetween_26__and_50__FRPL,FrlBetween_51__and_75__FRPL,FrlGreater_than_75__FRPL,FrlBetween_10__and_25__FRPL,FrlLess_than_10__FRPL,BlackBetween_26__and_50__FRPL,BlackBetween_51__and_75__FRPL,BlackGreater_than_75__FRPL,BlackBetween_10__and_25__FRPL,BlackLess_than_10__FRPL,WhiteBetween_26__and_50__FRPL,WhiteBetween_51__and_75__FRPL,WhiteGreater_than_75__FRPL,WhiteBetween_10__and_25__FRPL,WhiteLess_than_10__FRPL,NonFrlBetween_26__and_50__FRPL,NonFrlBetween_51__and_75__FRPL,NonFrlGreater_than_75__FRPL,NonFrlBetween_10__and_25__FRPL,NonFrlLess_than_10__FRPL,TotalFRL,TotalNonFRL,TotalBlack,TotalWhite,PctPoorinPoorSchools,PctNonPoorinPoorSchools,PctBlackinPoorSchools,PctWhiteinPoorSchools,diff,PercentPoor_RJ
HOONAH-ANGOON CENSUS AREA,AK,2105,2105,,,2105,,54,97,,0,,1,2,,0,,15,6,,66,,19,22,,93,151,134,3,87,0.642384106,0.164179104,0.666666667,0.068965517,0.478205001,0.529824561
YUKON-KOYUKUK,AK,2290,2290,,,2290,133,182,413,,0,1,2,2,,0,86,28,6,,12,198,131,76,,225,728,630,5,132,0.567307692,0.120634921,0.4,0.045454545,0.446672772,0.536082474
BETHEL,AK,2050,2050,,,2050,278,918,2618,,0,4,5,0,,0,81,94,16,,0,324,466,267,,18,3814,1075,9,191,0.686418458,0.248372093,0,0.083769634,0.438046365,0.780118634
NORTHWEST ARTIC BOROUGH,AK,2188,2188,,,2188,343,26,1055,,,3,0,0,,,52,0,13,,,363,19,195,,,1424,577,3,65,0.740870787,0.337954939,0,0.2,0.402915847,0.711644178
DILLINGHAM,AK,2070,2070,,,2070,116,165,464,,,0,0,0,,,32,34,10,,,142,142,84,,,745,368,0,76,0.622818792,0.22826087,0,0.131578947,0.394557922,0.669362084
LAKE AND PENINSULA,AK,2164,2164,,,2164,28,40,212,,,6,0,0,,,25,11,12,,,31,26,37,,,280,94,6,48,0.757142857,0.393617021,0,0.25,0.363525836,0.748663102
NOME,AK,2180,2180,,,2180,84,580,1284,,0,0,0,0,,2,8,52,39,,10,91,270,188,,45,1948,594,2,109,0.659137577,0.316498316,0,0.357798165,0.342639261,0.766325728
SOUTHEAST FAIRBANKS,AK,2240,2240,,,2240,303,15,209,,0,17,2,1,,0,606,2,94,,21,430,6,50,,21,527,507,20,723,0.39658444,0.098619329,0.05,0.130013831,0.297965111,0.50967118
ANCHORAGE,AK,2020,2020,11260,"Anchorage, AK",2020,4406,6190,5474,1834,124,666,1019,660,324,60,5829,3154,792,7072,2166,7729,4618,621,8802,2763,18028,24533,2729,19013,0.303638784,0.025312844,0.24184683,0.041655709,0.27832594,0.423580273
PR.OF WALES-HYDER CNS AREA,AK,2198,2198,,,2198,6,412,309,,,0,2,1,,,9,165,185,,,6,165,72,,,727,243,3,359,0.425034388,0.296296296,0.333333333,0.515320334,0.128738092,0.749484536
VALDEZ-CORDOVA,AK,2261,2261,,,2261,359,97,29,,0,0,0,0,,1,576,100,2,,183,574,82,3,,357,485,1016,1,861,0.059793814,0.002952756,0,0.00232288,0.056841059,0.323117921
KODIAK ISLAND BOROUGH,AK,2150,2150,,,2150,420,632,65,61,,7,5,0,2,,382,325,3,198,,567,460,15,216,,1178,1258,14,908,0.055178268,0.011923688,0,0.003303965,0.04325458,0.483579639
KENAI PENINSULA,AK,2122,2122,,,2122,1837,1041,151,58,0,23,6,0,2,2,3798,1318,67,193,666,3157,791,39,196,762,3087,4945,33,6042,0.048914804,0.007886754,0,0.011089043,0.04102805,0.384337649
PETERSBURG CENSUS AREA,AK,2195,2195,,,2195,92,212,10,,,5,6,0,,,139,174,10,,,111,151,3,,,314,265,11,323,0.031847134,0.011320755,0,0.030959752,0.020526379,0.542314335
FAIRBANKS NORTH STAR,AK,2090,2090,21820,"Fairbanks, AK",2090,3129,1590,114,328,0,485,264,7,28,7,5774,1289,28,1051,265,5867,1100,31,1083,349,5161,8430,791,8407,0.022088742,0.003677343,0.008849558,0.003330558,0.0184114,0.37973659
ALEUTIANS EAST,AK,2013,2013,,,2013,,146,,,0,,0,,,0,,24,,,8,,75,,,33,146,108,0,32,0,0,0,0,0,0.57480315
ALEUTIANS WEST,AK,2016,2016,,,2016,,,,77,0,,,,1,0,,,,123,3,,,,339,133,77,472,1,126,0,0,0,0,0,0.140255009
BRISTOL BAY BOROUGH,AK,2060,2060,,,2060,66,,,,,0,,,,,53,,,,,85,,,,,66,85,0,53,0,0,0,0,0,0.437086093
DENALI,AK,2068,2068,,,2068,,,,,0,,,,,0,,,,,225,,,,,234,0,234,0,225,0,0,0,0,0,0
HAINES,AK,2100,2100,,,2100,123,,,,,0,,,,,212,,,,,141,,,,,123,141,0,212,0,0,0,0,0,0.465909091
JUNEAU,AK,2110,2110,,,2110,775,,,561,,35,,,38,,990,,,1549,,1387,,,2142,,1336,3529,73,2539,0,0,0,0,0,0.274614594
KETCHIKAN GATEWAY,AK,2130,2130,,,2130,632,252,,,,15,3,,,,863,173,,,,998,182,,,,884,1180,18,1036,0,0,0,0,0,0.428294574
MATANUSKA-SUSITNA,AK,2170,2170,11260,"Anchorage, AK",2170,3571,1509,,317,0,240,49,,35,26,6887,1918,,1147,963,5931,1160,,1203,1247,5397,9541,350,10915,0,0,0,0,0,0.361293346
NORTH SLOPE BOROUH,AK,2185,2185,,,2185,236,128,,219,,0,0,,10,,14,0,,50,,333,111,,876,,583,1320,10,64,0,0,0,0,0,0.306358382
SITKA BOROUGH,AK,2220,2220,,,2220,467,259,,,,7,4,,,,655,30,,,,783,139,,,,726,922,11,685,0,0,0,0,0,0.440533981
SKAGWAY-YAKUTAT,AK,2230,2230,,,2230,,,,,3,,,,,0,,,,,83,,,,,89,3,89,0,83,0,0,0,0,0,0.032608696
WADE HAMPTON,AK,2270,2270,,,2270,,,2096,,,,,0,,,,,14,,,,,390,,,2096,390,0,14,1,1,0,1,0,0.84312148
WRANGELL CITY AND BOROUGH,AK,2275,2275,,,2275,49,112,,,0,1,1,,,4,51,101,,,65,53,91,,,88,161,232,6,217,0,0,0,0,0,0.409669211
YAKUTAT BOROUGH,AK,2282,2282,,,2282,,,72,,,,,0,,,,,13,,,,,15,,,72,15,0,13,1,1,0,1,0,0.827586207
STATEWIDE,AK,2999,2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
JEFFERSON,AL,1360,1073,13820,"Birmingham-Hoover, AL",1073,8807,10935,32241,2134,440,6525,9033,33189,2069,412,14668,6643,870,9307,8851,14213,6631,3704,10554,9355,54557,44457,51228,40339,0.590959913,0.083316463,0.647868353,0.021567218,0.50764345,0.551002888
MONTGOMERY,AL,1500,1101,33860,"Montgomery, AL",1101,1008,2098,18808,468,,1634,2185,19467,891,,772,929,937,1386,,1838,1317,3015,2404,,22382,8574,24177,4024,0.840318113,0.351644507,0.805186748,0.232852883,0.488673606,0.723026231
HALE,AL,1320,1065,46220,"Tuscaloosa, AL",1065,256,391,1560,,,167,217,1634,,,342,400,46,,,265,243,142,,,2207,650,2018,788,0.706841867,0.218461538,0.809712587,0.058375635,0.488380328,0.772488624
PICKENS,AL,1530,1107,,,1107,,687,1449,,,,340,1296,,,,754,275,,,,464,133,,,2136,597,1636,1029,0.678370787,0.22278057,0.792176039,0.267249757,0.455590217,0.781558727
ESCAMBIA,AL,1260,1053,,,1053,396,1273,2417,,,278,450,1608,,,642,1394,1017,,,552,775,352,,,4086,1679,2336,3053,0.591532061,0.2096486,0.688356164,0.333114969,0.38188346,0.708759757
CHAMBERS,AL,1080,1017,,,1017,,1825,1633,,,,1069,1511,,,,1786,207,,,,1149,126,,,3458,1275,2580,1993,0.472238288,0.098823529,0.585658915,0.103863522,0.373414759,0.730614832
MOBILE,AL,1480,1097,33660,"Mobile, AL",1097,2461,19037,23031,,0,1202,9413,18960,,335,4327,18573,5454,,0,3336,10933,2878,,338,44529,17485,29910,28354,0.517213501,0.164598227,0.633901705,0.192353813,0.352615274,0.718047538
HENRY,AL,1330,1067,20020,"Dothan, AL",1067,826,,793,,,351,,575,,,1284,,305,,,900,,150,,,1619,1050,926,1589,0.489808524,0.142857143,0.620950324,0.191944619,0.346951381,0.60659423
MADISON,AL,1440,1089,26620,"Huntsville, AL",1089,6926,3272,6666,3437,87,4370,1997,5419,3387,83,12362,3190,807,11897,1510,12183,2642,926,13711,1633,20388,31095,15256,29766,0.326957034,0.029779707,0.35520451,0.027111469,0.297177326,0.396014218
MARENGO,AL,1450,1091,,,1091,,1821,1039,,,,1352,1096,,,,1471,17,,,,1129,86,,,2860,1215,2448,1488,0.363286713,0.070781893,0.447712418,0.011424731,0.29250482,0.701840491
TUSCALOOSA,AL,1620,1125,46220,"Tuscaloosa, AL",1125,5049,5024,5687,331,,3621,2814,5576,230,,7475,4692,599,1256,,6538,3028,887,1242,,16091,11695,12241,14022,0.353427382,0.075844378,0.45551834,0.042718585,0.277583004,0.579104585
HOUSTON,AL,1340,1069,20020,"Dothan, AL",1069,1458,4792,3668,,,630,2441,2967,,,2810,4876,1042,,,2204,3002,555,,,9918,5761,6038,8728,0.369832628,0.096337441,0.491387877,0.119385885,0.273495186,0.632565852
MONROE,AL,1490,1099,,,1099,,1089,1624,,,,341,1351,,,,1336,328,,,,665,350,,,2713,1015,1692,1664,0.598599337,0.344827586,0.798463357,0.197115385,0.25377175,0.727736052
TALLADEGA,AL,1600,1121,,,1121,,4809,4116,,,,2111,2693,,,,5072,1939,,,,2629,722,,,8925,3351,4804,7011,0.461176471,0.215458072,0.560574521,0.276565397,0.245718398,0.727028348
WASHINGTON,AL,1640,1129,,,1129,276,1140,548,,,110,448,342,,,473,1419,61,,,316,871,56,,,1964,1243,900,1953,0.279022403,0.045052293,0.38,0.031233999,0.23397011,0.612410352
ETOWAH,AL,1270,1055,23460,"Gadsden, AL",1055,1216,5439,3189,99,,66,1564,1448,73,,3110,6628,1815,319,,2054,3302,574,322,,9943,6252,3151,11872,0.32072815,0.091810621,0.459536655,0.152880728,0.22891753,0.613954924
RUSSELL,AL,1560,1113,17980,"Columbus, GA-AL",1113,,4013,2793,,,,3210,1865,,,,2336,1166,,,,2029,488,,,6806,2517,5075,3502,0.4103732,0.193881605,0.367487685,0.332952599,0.216491595,0.730022525
DE KALB,AL,1240,1049,,,1049,,5343,2849,,,,133,61,,,,5933,1346,,,,3118,485,,,8192,3603,194,7279,0.34777832,0.134610047,0.31443299,0.18491551,0.213168273,0.694531581
BARBOUR,AL,1020,1005,,,1005,,1491,1186,,,,1190,995,,,,869,302,,,,717,224,,,2677,941,2185,1171,0.443033246,0.238044633,0.455377574,0.257899231,0.204988613,0.692446974
CALHOUN,AL,1070,1015,11500,"Anniston-Oxford, AL",1015,1651,6457,3123,,,596,1959,2129,,,3021,8045,1307,,,2173,4297,537,,,11231,7007,4684,12373,0.278069629,0.076637648,0.454526046,0.105633234,0.201431981,0.615802171
MORGAN,AL,1510,1103,19460,"Decatur, AL",1103,2931,4589,2234,371,,603,1564,832,91,,5930,5099,697,1678,,4110,3257,319,1446,,10125,9132,3090,13404,0.220641975,0.034932107,0.269255663,0.051999403,0.185709868,0.525782832
PIKE,AL,1540,1109,,,1109,,2286,807,,,,1782,572,,,,1523,263,,,,1215,102,,,3093,1317,2354,1786,0.260911736,0.077448747,0.242990654,0.147256439,0.183462989,0.701360544
DALE,AL,1220,1045,,,1045,374,2192,1100,,,51,1260,420,,,807,2247,864,,,507,1541,312,,,3666,2360,1731,3918,0.300054555,0.13220339,0.242634315,0.220520674,0.167851166,0.578051088
COOSA,AL,1180,1037,,,1037,,233,319,,,,167,182,,,,192,212,,,,132,98,,,552,230,349,404,0.577898551,0.426086957,0.521489971,0.524752475,0.151811594,0.705882353
LAWRENCE,AL,1390,1079,19460,"Decatur, AL",1079,609,1716,629,,,42,241,336,,,1078,2279,321,,,833,1158,133,,,2954,2124,619,3678,0.212931618,0.062617702,0.542810985,0.087275693,0.150313916,0.581725089
MARSHALL,AL,1470,1095,,,1095,1817,6024,2017,,,134,159,24,,,4145,7099,1705,,,2702,3820,474,,,9858,6996,317,12949,0.204605397,0.067753002,0.075709779,0.131670399,0.136852395,0.58490566
BUTLER,AL,1060,1013,,,1013,,223,2357,,,,82,1878,,,,285,927,,,,147,518,,,2580,665,1960,1212,0.913565891,0.778947368,0.958163265,0.764851485,0.134618523,0.795069337
CLARKE,AL,1120,1025,,,1025,,2056,1292,,,,1698,1041,,,,1310,575,,,,1017,350,,,3348,1367,2739,1885,0.385902031,0.256035113,0.380065717,0.305039788,0.129866918,0.710074231
LAUDERDALE,AL,1380,1077,22520,"Florence-Muscle Shoals, AL",1077,2903,2884,852,25,,555,710,468,25,,6303,3954,261,139,,4216,1997,56,151,,6664,6420,1758,10657,0.12785114,0.008722741,0.266211604,0.024490945,0.119128399,0.509324366
TALLAPOOSA,AL,1610,1123,,,1123,442,2596,606,,,392,1351,386,,,583,2767,389,,,553,1768,188,,,3644,2509,2129,3739,0.166300768,0.074930251,0.181305777,0.104038513,0.091370517,0.592231432
LEE,AL,1400,1081,12220,"Auburn-Opelika, AL",1081,3279,5967,1070,389,,2443,3324,874,348,,6315,6128,122,1071,,6497,4052,111,1200,,10705,11860,6989,13636,0.099953293,0.009359191,0.125053656,0.008946905,0.090594102,0.474407268
RANDOLPH,AL,1550,1111,,,1111,,2003,504,,,,842,101,,,,2169,488,,,,1137,142,,,2507,1279,943,2657,0.201037096,0.111024238,0.107104984,0.183665788,0.090012858,0.66217644
